company_name,open_RMSE,open_MAE,open_MAPE,open_R2,high_RMSE,high_MAE,high_MAPE,high_R2,low_RMSE,low_MAE,low_MAPE,low_R2,close_RMSE,close_MAE,close_MAPE,close_R2
ADANIGREEN,34.467720843092444,23.0577101941747,1.7512060662854847,0.9934939752243414,36.140384457196504,24.220971359223455,1.7137739623235269,0.9929652151188575,29.727843112599274,19.320238349514813,1.4684711630670062,0.995011872697014,23.54913160559836,12.39844029126224,0.938900162511811,0.9969348401462794
ADANIPOWER,182.3694263240735,152.04099671916015,25.375705053036,-1.0722430913686822,191.60619152789437,160.74178346456694,26.43250406091736,-1.244925079214708,185.19025729810764,154.5959137139106,26.287503015037966,-1.2232164905643246,198.50672476886652,166.37016502624675,27.90601797179219,-1.5050737069091378
AMBUJACEM,32.74529916258799,19.393922572178596,3.157636901986752,0.8124219204444456,37.52340251859593,23.257256233595598,3.7379562155157346,0.7581199334883453,35.46940666613299,22.761721128608627,3.7898599793152257,0.7730092340500477,41.86859001032879,29.34823129921267,4.876489083890299,0.6922713025846333
ATGL,18.83509144900697,12.654994866529847,1.7135156857776623,0.9790129270091946,16.741106927710675,12.313635523614025,1.5759382528937107,0.9837116065369006,18.027497816694552,12.411414271047107,1.6851678500105967,0.9802896421895424,10.192335549320818,7.155189938398333,0.9742163521669909,0.9937754937751044
BANDHANBNK,25.204587451490898,19.096935150375838,11.975423977090033,-0.5235213151783524,24.98996872734436,19.113289473684066,11.786093460870145,-0.48471205669164164,15.475333520910262,10.565240601503687,6.8524029366354,0.40847676511678765,12.420352577770608,7.0480690789473925,4.6762066576765795,0.6280521694573036
BERGEPAINT,6.541405181014836,4.696789698162721,0.8646761570965209,0.9778082256717978,5.676999486779962,4.155626640419897,0.7516857882134699,0.9839421055368222,5.658967524280637,4.124503608923876,0.7710843526257991,0.9830577306884833,5.803257494897403,2.8120626640419637,0.5313298295816944,0.982891043477257
BLUEDART,105.48090245852029,79.40888713910799,1.1402943599665811,0.9809370006642147,110.78731965249254,77.47968372703431,1.0749012270441702,0.97975606218227,111.21622472037085,84.99272900262392,1.2442167455852262,0.9775708149697699,125.05266839743982,94.38612106299186,1.3529986835212195,0.9727325347577244
CHOLAFIN,254.31071971128046,198.667009514436,13.884943657976725,-1.2889344212851381,272.1101682000963,218.08805577428024,15.139602048457034,-1.578325287503103,257.164670700517,203.40698359580114,14.501922370563115,-1.4305079501033822,267.48827992754235,213.82768011811027,15.059215177093705,-1.5652652958532136
DABUR,6.217425546875328,4.385354986876617,0.798350363700314,0.9827225476210553,6.095746891348687,4.215369422572243,0.7564471678833135,0.9838703591248563,6.642872519033774,4.3895557742782065,0.8199366228687337,0.9793933496222896,5.035615330878785,3.053446522309736,0.5520574823099754,0.9884024002188108
DLF,286.10118651324626,254.33978116797869,31.678157679776877,-3.7097380622804694,308.0793966644345,275.58892290026245,34.001861496209706,-4.3433327606404015,289.24439813848807,257.6267395013126,32.61255001052832,-3.9977609358089596,309.09775750815163,276.808688976378,34.69333017719885,-4.526122098326855
